key,val
"AFGHANISTAN",4
"AF",4
"AFG",4
"�LAND ISLANDS",248
"ALAND ISLANDS",248
"AX",248
"ALA",248
"ALBANIA",8
"AL",8
"ALB",8
"ALGERIA",12
"DZ",12
"DZA",12
"AMERICAN SAMOA",16
"AS",16
"ASM",16
"ANDORRA",20
"AD",20
"AND",20
"ANGOLA",24
"AO",24
"AGO",24
"ANGUILLA",660
"AI",660
"AIA",660
"ANTARCTICA",10
"AQ",10
"ATA",10
"ANTIGUA AND BARBUDA",28
"AG",28
"ATG",28
"ARGENTINA",32
"AR",32
"ARG",32
"ARMENIA",51
"AM",51
"ARM",51
"ARUBA",533
"AW",533
"ABW",533
"AUSTRALIA",36
"AU",36
"AUS",36
"AUSTRIA",40
"AT",40
"AUT",40
"AZERBAIJAN",31
"AZ",31
"AZE",31
"BAHAMAS",44
"BAHAMAS, THE",44
"THE BAHAMAS",44
"BS",44
"BHS",44
"BAHRAIN",48
"BH",48
"BHR",48
"BANGLADESH",50
"BD",50
"BGD",50
"BARBADOS",52
"BB",52
"BRB",52
"BELARUS",112
"BY",112
"BLR",112
"BELGIUM",56
"BE",56
"BEL",56
"BELIZE",84
"BZ",84
"BLZ",84
"BENIN",204
"BJ",204
"BEN",204
"BERMUDA",60
"BM",60
"BMU",60
"BHUTAN",64
"BT",64
"BTN",64
"BOLIVIA (PLURINATIONAL STATE OF)",68
"BOLIVIA, PLURINATIONAL STATE OF",68
"BOLIVIA",68
"PLURINATIONAL STATE OF BOLIVIA",68
"BO",68
"BOL",68
"BONAIRE, SINT EUSTATIUS AND SABA",535
"BONAIRE",535
"SINT EUSTATIUS AND SABA BONAIRE",535
"CARRIBEAN NETHERLANDS",535
"BQ",535
"BES",535
"BOSNIA AND HERZEGOVINA",70
"BA",70
"BIH",70
"BOTSWANA",72
"BW",72
"BWA",72
"BOUVET ISLAND",74
"BV",74
"BVT",74
"BRAZIL",76
"BR",76
"BRA",76
"BRITISH INDIAN OCEAN TERRITORY",86
"IO",86
"IOT",86
"BRUNEI DARUSSALAM",96
"BRUNEI",96
"BN",96
"BRN",96
"BULGARIA",100
"BG",100
"BGR",100
"BURKINA FASO",854
"BF",854
"BFA",854
"BURUNDI",108
"BI",108
"BDI",108
"CABO VERDE",132
"CV",132
"CPV",132
"CAMBODIA",116
"KH",116
"KHM",116
"CAMEROON",120
"CM",120
"CMR",120
"CANADA",124
"CA",124
"CAN",124
"CAYMAN ISLANDS",136
"KY",136
"CYM",136
"CENTRAL AFRICAN REPUBLIC",140
"CF",140
"CAF",140
"CHAD",148
"TD",148
"TCD",148
"CHILE",152
"CL",152
"CHL",152
"CHINA",156
"CN",156
"CHN",156
"CHRISTMAS ISLAND",162
"CX",162
"CXR",162
"COCOS (KEELING) ISLANDS",166
"COCOS ISLANDS",166
"KEELING ISLANDS",166
"COCOS KEELING ISLANDS",166
"CC",166
"CCK",166
"COLOMBIA",170
"CO",170
"COL",170
"COMOROS",174
"KM",174
"COM",174
"CONGO",180
"CONGO (REPUBLIC OF THE)",178
"CONGO, REPUBLIC OF THE",178
"REPUBLIC OF THE CONGO",178
"CG",178
"COG",178
"CONGO (DEMOCRATIC REPUBLIC OF THE)",180
"CONGO, DEMOCRATIC REPUBLIC OF THE",180
"DEMOCRATIC REPUBLIC OF THE CONGO",180
"CD",180
"COD",180
"COOK ISLANDS",184
"CK",184
"COK",184
"COSTA RICA",188
"CR",188
"CRI",188
"C�TE D'IVOIRE",384
"COTE D'IVOIRE",384
"CI",384
"CIV",384
"CROATIA",191
"HR",191
"HRV",191
"CUBA",192
"CU",192
"CUB",192
"CURA�AO",531
"CURACAO",531
"CW",531
"CUW",531
"CYPRUS",196
"CY",196
"CYP",196
"CZECHIA",203
"CZECH REPUBLIC",203
"CZ",203
"CZE",203
"DENMARK",208
"DK",208
"DNK",208
"DJIBOUTI",262
"DJ",262
"DJI",262
"DOMINICA",212
"DM",212
"DMA",212
"DOMINICAN REPUBLIC",214
"DO",214
"DOM",214
"ECUADOR",218
"EC",218
"ECU",218
"EGYPT",818
"EG",818
"EGY",818
"EL SALVADOR",222
"SV",222
"SLV",222
"EQUATORIAL GUINEA",226
"GQ",226
"GNQ",226
"ERITREA",232
"ER",232
"ERI",232
"ESTONIA",233
"EE",233
"EST",233
"ETHIOPIA",231
"ET",231
"ETH",231
"FALKLAND ISLANDS (MALVINAS)",238
"FALKLAND ISLANDS (ISLAS MALVINAS)",238
"FALKLAND ISLANDS",238
"ISLAS MALVINAS",238
"MALVINAS",238
"FK",238
"FLK",238
"FAROE ISLANDS",234
"FO",234
"FRO",234
"FIJI",242
"FJ",242
"FJI",242
"FINLAND",246
"FI",246
"FIN",246
"FRANCE",250
"FR",250
"FRA",250
"FRENCH GUIANA",254
"GF",254
"GUF",254
"FRENCH POLYNESIA",258
"PF",258
"PYF",258
